Rank,Alumni_Salary,Total_Annual_Cost,Name,City,State,Public_Private,,Student_Population,Net_Price,Average_Grant_Aid,Acceptance_Rate,Undergraduate_Population,Average_ACT,,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,,Website,,,
45,100800,51152,"University of North Carolina, Chapel Hill",Chapel Hill,NC,Public,,29911,19696,17291,24,19429,30.5,,1270,1460,28,33,,www.unc.edu,,,
46,130600,69860,Colgate University,Hamilton,NY,Private,,3025,10466,45108,28,2894,32,,1310,1500,31,33,,www.colgate.edu,,,
47,108900,59012,College of William &amp; Mary,Williamsburg,VA,Public,,8740,15531,18738,36,6822,31,,1300,1480,29,33,,www.wm.edu,,,
48,106900,66678,Davidson College,Davidson,NC,Private,,1959,16220,36359,20,1810,31.5,,1310,1470,30,33,,www.davidson.edu,,,
49,112300,71614,Haverford College,Haverford,PA,Private,,1326,14564,45805,20,1296,32.5,,1390,1530,31,34,,www.haverford.edu,,,
50,109800,71282,Barnard College,New York,NY,Private,,2668,15187,44776,15,2544,31.5,,1310,1500,30,33,,barnard.edu,,,
51,134700,69439,Santa Clara University,Santa Clara,CA,Private,,8629,9493,26671,54,5754,30,,1270,1440,28,32,,www.scu.edu,,,
52,109900,68835,Carleton College,Northfield,MN,Private,,2155,15024,38342,21,2078,32.5,,1360,1530,31,34,,www.carleton.edu,,,
53,118100,0,United States Coast Guard Academy,New London,CT,Public,,1044,12993,,15,896,28.5,,1180,1343,26,31,,www.uscga.edu,,,
54,96600,70500,Pitzer College,Claremont,CA,Private,,1087,22018,41257,16,1074,0,,,,,,,www.pitzer.edu,,,
55,110800,66950,Emory University,Atlanta,GA,Private,,14263,14789,38213,22,7859,31.5,,1350,1520,30,33,,www.emory.edu,,,
56,114800,69130,Wake Forest University,Winston-Salem,NC,Private,,8116,13866,42495,28,5068,0,,,,,,,www.wfu.edu,,,
57,122500,68640,Lafayette College,Easton,PA,Private,,2594,12412,39957,31,2569,29.5,,1260,1440,28,31,,www.lafayette.edu,,,
58,126200,65045,Cooper Union,New York,NY,Private,,946,11700,32452,13,921,31,,1310,1530,28,34,,cooper.edu,,,
59,108100,67670,Hamilton College,Clinton,NY,Private,,2043,15764,43611,24,1901,32,,1360,1510,31,33,,www.hamilton.edu/index.cfm,,,
60,98600,71060,Scripps College,Claremont,CA,Private,,1092,20739,31633,33,1083,31,,1290,1460,29,33,,www.scrippscollege.edu,,,
61,100100,70370,Vassar College,Poughkeepsie,NY,Private,,2572,19986,44517,24,2353,31.5,,1330,1500,30,33,,www.vassar.edu,,,
62,133800,68432,Babson College,Babson Park,MA,Private,,3329,9854,36717,24,2354,29.5,,1230,1410,27,32,,www.babson.edu,,,
63,113400,49698,"University of Maryland, College Park",College Park,MD,Public,,40521,14315,8955,45,32022,31,,1280,1470,29,33,,www.umd.edu,,,
64,112300,51159,"University of Washington, Seattle",Seattle,WA,Public,,46166,14582,14051,46,38781,29.5,,1190,1420,27,32,,uw.edu,,,
65,133400,49366,Georgia Institute of Technology,Atlanta,GA,Public,,29376,9930,12779,23,17223,32,,1090,1520,30,34,,www.gatech.edu,,,
66,140700,8646,United States Merchant Marine Academy,Kings Point,NY,Public,,975,8135,3597,22,912,27,,1210,1280,26,28,,www.usmma.edu,,,
67,134100,65925,Lehigh University,Bethlehem,PA,Private,,7017,9560,36014,25,5337,30.5,,1270,1430,29,32,,www4.lehigh.edu/default.aspx,,,
68,115300,46202,"University of Illinois, Urbana-Champaign",Champaign,IL,Public,,48216,13832,13595,62,35476,29,,1340,1500,26,32,,illinois.edu,,,
69,104400,49885,"University of Wisconsin, Madison",Madison,WI,Public,,42977,17636,6733,54,33863,29,,1280,1450,27,31,,www.wisc.edu,,,
70,102800,43409,University of Florida,Gainesville,FL,Public,,52669,18446,6636,42,37851,30,,1240,1400,28,32,,www.ufl.edu,,,
71,103800,69180,Kenyon College,Gambier,OH,Private,,1795,17863,34966,34,1677,31,,1263,1460,29,33,,www.kenyon.edu/index.xml,,,
72,119500,68231,Villanova University,Villanova,PA,Private,,10967,12768,30163,36,7873,31.5,,1250,1440,30,33,,www.villanova.edu,,,
73,122900,70125,Bucknell University,Lewisburg,PA,Private,,3740,12344,29783,31,3678,29.5,,1250,1420,28,31,,www.bucknell.edu,,,
74,113600,70302,Boston University,Boston,MA,Private,,33355,14309,34156,25,22829,30.5,,1300,1480,29,32,,www.bu.edu,,,
75,103300,68582,Colby College,Waterville,ME,Private,,2032,18027,45463,16,1917,32,,1340,1500,31,33,,www.colby.edu,,,
76,112800,51786,"University of Texas, Austin",Austin,TX,Public,,51525,14351,10644,36,42827,29.5,,1220,1460,26,33,,www.utexas.edu,,,
77,114600,66220,College of the Holy Cross,Worcester,MA,Private,,2855,13972,36963,40,2806,0,,,,,,,www.holycross.edu,,,
78,115300,69368,George Washington University,Washington,DC,Private,,27973,13796,29429,41,12358,30.5,,1280,1440,29,32,,www.gwu.edu,,,
79,123700,60177,"University of California, San Diego",San Diego,CA,Public,,35772,12021,18231,34,29613,30,,1210,1410,27,33,,www.ucsd.edu,,,
80,96500,66214,Grinnell College,Grinnell,IA,Private,,1765,22098,33946,29,1712,32,,1310,1510,30,34,,www.grinnell.edu,,,
81,98200,69563,Smith College,Northampton,MA,Private,,2918,21011,39913,32,2594,0,,,,,,,www.smith.edu,,,
82,112700,70108,University of Rochester,Rochester,NY,Private,,11648,14382,30658,34,6905,31,,1300,1490,29,33,,www.rochester.edu,,,
83,107500,64890,University of Richmond,Richmond,VA,Private,,4023,16136,38394,33,3815,30.5,,1270,1460,29,32,,www.richmond.edu,,,
84,116300,64125,"University of California, Santa Barbara",Santa Barbara,CA,Public,,25057,13691,19558,33,22910,30.5,,1190,1400,28,33,,www.ucsb.edu,,,
85,96800,71330,Oberlin College,Oberlin,OH,Private,,3030,21898,28876,34,2853,30.5,,1280,1450,28,33,,www.oberlin.edu,,,
86,100400,66280,Macalester College,St. Paul,MN,Private,,2249,19905,33335,41,2136,30.5,,1300,1480,29,32,,www.macalester.edu,,,
87,116000,61872,"University of California, Irvine",Irvine,CA,Public,,35242,13746,18824,37,28947,28.5,,1170,1350,25,32,,www.uci.edu,,,
88,112600,63743,"University of California, Davis",Davis,CA,Public,,37380,14473,18690,43,31437,28.5,,1130,1360,25,32,,www.ucdavis.edu,,,
89,102600,64504,Whitman College,Walla Walla,WA,Private,,1574,18500,23828,52,1510,30,,1140,1380,28,32,,www.whitman.edu,,,
90,99600,66274,University of Miami (FL),Coral Gables,FL,Private,,17003,20282,20647,36,12002,30,,1230,1420,28,32,,www.miami.edu,,,
91,110400,72408,Southern Methodist University,Dallas,TX,Private,,11789,14860,33203,49,6917,30,,1270,1440,28,32,,www.smu.edu,,,
92,97900,68616,Colorado College,Colorado Springs,CO,Private,,2450,21134,36872,15,2118,0,,,,,,,www.coloradocollege.edu,,,
93,135500,65046,Worcester Polytechnic Institute,Worcester,MA,Private,,6642,9468,19515,48,4654,0,,,,,,,www.wpi.edu,,,
94,139600,52698,Colorado School of Mines,Golden,CO,Public,,6209,8625,10725,56,4811,30,,1310,1450,28,32,,www.mines.edu,,,
95,108000,18370,Brigham Young University,Provo,UT,Private,,35807,15844,4843,52,34334,29.5,,1210,1410,27,32,,www.byu.edu,,,
96,113200,70943,Brandeis University,Waltham,MA,Private,,5721,14331,35487,34,3869,31,,1280,1470,29,33,,www.brandeis.edu,,,
97,112800,60525,Yeshiva University,New York,NY,Private,,6330,14354,26972,63,2884,26,,1160,1420,23,29,,www.yu.edu,,,
